Name of State / UT,Total Confirmed cases,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,33,33,0,2020-05-27,11.7401,92.6586
Andhra Pradesh,3171,2009,57,2020-05-27,15.9129,79.74
Arunachal Pradesh,2,1,0,2020-05-27,28.218000000000004,94.7278
Assam,616,62,4,2020-05-27,26.2006,92.9376
Bihar,2983,900,13,2020-05-27,25.0961,85.3131
Chandigarh,266,187,4,2020-05-27,30.7333,76.7794
Chhattisgarh,361,79,0,2020-05-27,21.2787,81.8661
Dadar Nagar Haveli,2,0,0,2020-05-27,20.1809,73.0169
Delhi,14465,7223,288,2020-05-27,28.7041,77.1025
Goa,67,28,0,2020-05-27,15.2993,74.124
Gujarat,14821,7139,915,2020-05-27,22.2587,71.1924
Haryana,1305,824,17,2020-05-27,29.0588,76.0856
Himachal Pradesh,247,67,5,2020-05-27,31.1048,77.1734
Jammu and Kashmir,1759,833,24,2020-05-27,33.7782,76.5762
Jharkhand,426,175,4,2020-05-27,23.6102,85.2799
Karnataka,2283,748,44,2020-05-27,15.3173,75.7139
Kerala,963,542,6,2020-05-27,10.8505,76.2711
Ladakh,53,43,0,2020-05-27,34.2996,78.2932
Madhya Pradesh,7024,3689,305,2020-05-27,22.9734,78.6569
Maharashtra,54758,16954,1792,2020-05-27,19.7515,75.7139
Manipur,39,4,0,2020-05-27,24.6637,93.9063
Meghalaya,15,12,1,2020-05-27,25.467,91.3662
Mizoram,1,1,0,2020-05-27,23.1645,92.9376
Nagaland,4,0,0,2020-05-27,26.1584,94.5624
Odisha,1517,733,7,2020-05-27,20.9517,85.0985
Puducherry,46,12,0,2020-05-27,11.9416,79.8083
Punjab,2106,1918,40,2020-05-27,31.1471,75.3412
Rajasthan,7536,4171,170,2020-05-27,27.0238,74.2179
Sikkim,1,0,0,2020-05-27,27.5712,88.4759
Tamil Nadu,17728,9342,127,2020-05-27,11.1271,78.6569
Telengana,1991,1284,57,2020-05-27,18.1124,79.0193
Tripura,207,165,0,2020-05-27,23.9408,91.9882
Uttar Pradesh,6548,3698,170,2020-05-27,26.8467,80.9462
Uttarakhand,401,64,4,2020-05-27,30.0668,79.0193
West Bengal,4009,1486,283,2020-05-27,22.9868,87.855
Andaman and Nicobar Islands,33,33,0,2020-05-28,11.7401,92.6586
Andhra Pradesh,3171,2057,58,2020-05-28,15.9129,79.74
Arunachal Pradesh,2,1,0,2020-05-28,28.218000000000004,94.7278
Assam,781,87,4,2020-05-28,26.2006,92.9376
Bihar,3061,1083,15,2020-05-28,25.0961,85.3131
Chandigarh,279,187,4,2020-05-28,30.7333,76.7794
Chhattisgarh,369,83,0,2020-05-28,21.2787,81.8661
Dadar Nagar Haveli,2,0,0,2020-05-28,20.1809,73.0169
Delhi,15257,7264,303,2020-05-28,28.7041,77.1025
Goa,68,37,0,2020-05-28,15.2993,74.124
Gujarat,15195,7549,938,2020-05-28,22.2587,71.1924
Haryana,1381,838,18,2020-05-28,29.0588,76.0856
Himachal Pradesh,273,70,5,2020-05-28,31.1048,77.1734
Jammu and Kashmir,1921,854,26,2020-05-28,33.7782,76.5762
Jharkhand,448,185,4,2020-05-28,23.6102,85.2799
Karnataka,2418,781,47,2020-05-28,15.3173,75.7139
Kerala,1004,552,7,2020-05-28,10.8505,76.2711
Ladakh,53,43,0,2020-05-28,34.2996,78.2932
Madhya Pradesh,7261,3927,313,2020-05-28,22.9734,78.6569
Maharashtra,56948,17918,1897,2020-05-28,19.7515,75.7139
Manipur,44,4,0,2020-05-28,24.6637,93.9063
Meghalaya,20,12,1,2020-05-28,25.467,91.3662
Mizoram,1,1,0,2020-05-28,23.1645,92.9376
Nagaland,4,0,0,2020-05-28,26.1584,94.5624
Odisha,1593,733,7,2020-05-28,20.9517,85.0985
Puducherry,46,12,0,2020-05-28,11.9416,79.8083
Punjab,2139,1918,40,2020-05-28,31.1471,75.3412
Rajasthan,7703,4457,173,2020-05-28,27.0238,74.2179
Sikkim,1,0,0,2020-05-28,27.5712,88.4759
Tamil Nadu,18545,9909,133,2020-05-28,11.1271,78.6569
Telengana,2098,1284,63,2020-05-28,18.1124,79.0193
Tripura,230,165,0,2020-05-28,23.9408,91.9882
Uttar Pradesh,6991,3991,182,2020-05-28,26.8467,80.9462
Uttarakhand,469,79,4,2020-05-28,30.0668,79.0193
West Bengal,4192,1578,289,2020-05-28,22.9868,87.855
